Date,Home_Team,Score,Away_Team
14-08-2023,Las Palmas,1 - 2,Real Madrid
14-08-2023,Getafe,0 - 2,Real Madrid
14-08-2023,Real Madrid,1 - 1,Ath Madrid
14-08-2023,Real Madrid,4 - 0,Girona
14-08-2023,Vallecano,1 - 1,Real Madrid
14-08-2023,Real Madrid,1 - 0,Sevilla
14-08-2023,Valencia,2 - 2,Real Madrid
14-08-2023,Real Madrid,4 - 0,Celta
14-08-2023,Osasuna,2 - 4,Real Madrid
14-08-2023,Real Madrid,2 - 0,Ath Bilbao
14-08-2023,Mallorca,0 - 1,Real Madrid
14-08-2023,Real Madrid,3 - 2,Barcelona
14-08-2023,Sociedad,0 - 1,Real Madrid
14-08-2023,Real Madrid,3 - 0,Cadiz
14-08-2023,Granada,0 - 4,Real Madrid
14-08-2023,Real Madrid,5 - 0,Alaves
